step,lr,influence_raw,influence_lr_normalized
322,4.84500000e-05,2.67733305e-07,5.52597120e-03
323,4.86000000e-05,1.90773145e-07,3.92537336e-03
324,4.87500000e-05,-1.66255979e-07,-3.41037905e-03
325,4.89000000e-05,-3.32465964e-07,-6.79889497e-03
326,4.90500000e-05,-1.67129473e-07,-3.40732870e-03
327,4.92000000e-05,3.39372120e-07,6.89780733e-03
328,4.93500000e-05,1.50447193e-07,3.04857535e-03
329,4.95000000e-05,1.14416525e-08,2.31144495e-04
330,4.96500000e-05,1.82904222e-07,3.68387154e-03
331,4.98000000e-05,-2.45894851e-07,-4.93764761e-03
332,4.99500000e-05,-6.60669572e-07,-1.32266181e-02
333,5.01000000e-05,-3.30232746e-07,-6.59147199e-03
334,5.02500000e-05,-1.61762872e-07,-3.21916162e-03
335,5.04000000e-05,-1.41207329e-07,-2.80173273e-03
336,5.05500000e-05,-1.24374769e-07,-2.46043065e-03
337,5.07000000e-05,2.27882853e-07,4.49473082e-03
338,5.08500000e-05,7.13255237e-08,1.40266517e-03
339,5.10000000e-05,1.30994446e-07,2.56851855e-03
340,5.11500000e-05,-1.24911812e-07,-2.44206865e-03
341,5.13000000e-05,1.99711173e-07,3.89300532e-03
342,5.14500000e-05,-2.74992777e-07,-5.34485474e-03
343,5.16000000e-05,1.32206271e-07,2.56213704e-03
344,5.17500000e-05,-9.89925355e-08,-1.91289924e-03
345,5.19000000e-05,-5.15557871e-07,-9.93367767e-03
346,5.20500000e-05,-2.69535888e-07,-5.17840323e-03
347,5.22000000e-05,9.63333553e-08,1.84546658e-03
348,5.23500000e-05,2.03235378e-07,3.88224217e-03
349,5.25000000e-05,-1.08626596e-07,-2.06907802e-03
350,5.26500000e-05,8.51215951e-08,1.61674445e-03
351,5.28000000e-05,1.10158650e-07,2.08633807e-03
352,5.29500000e-05,-7.07489805e-08,-1.33614694e-03
353,5.31000000e-05,-5.03946518e-07,-9.49051823e-03
354,5.32500000e-05,4.70018841e-07,8.82664490e-03
355,5.34000000e-05,3.75125673e-07,7.02482533e-03
356,5.35500000e-05,1.80017696e-07,3.36167499e-03
357,5.37000000e-05,3.02429248e-07,5.63182958e-03
358,5.38500000e-05,-1.83201532e-07,-3.40207116e-03
359,5.40000000e-05,-5.73236250e-07,-1.06154861e-02
360,5.41500000e-05,-1.33741539e-07,-2.46983451e-03
361,5.43000000e-05,2.41493506e-07,4.44739421e-03
362,5.44500000e-05,-1.22003772e-07,-2.24065696e-03
363,5.46000000e-05,1.43605013e-07,2.63012844e-03
364,5.47500000e-05,-3.89857980e-07,-7.12069369e-03
365,5.49000000e-05,2.21279099e-07,4.03058468e-03
366,5.50500000e-05,1.24359175e-07,2.25902225e-03
367,5.52000000e-05,-2.58296327e-07,-4.67928128e-03
368,5.53500000e-05,1.94159610e-07,3.50785203e-03
369,5.55000000e-05,-1.30814669e-07,-2.35702107e-03
370,5.56500000e-05,-2.95142747e-07,-5.30355340e-03
371,5.58000000e-05,-5.60912044e-07,-1.00521872e-02
372,5.59500000e-05,-3.56471377e-07,-6.37124892e-03
373,5.61000000e-05,1.03444787e-07,1.84393559e-03
374,5.62500000e-05,-3.68282695e-07,-6.54724791e-03
375,5.64000000e-05,1.05630416e-07,1.87287972e-03
376,5.65500000e-05,2.84074181e-07,5.02341611e-03
